GEO_ID,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
1400000US19153003902,Census Tract 39.02,1935,215,95,63,0,15,0,15,8,19,52,57,50,42,39,29,143,121,68,50,224,141,224,104,459,168,130,74,215,96,119,77,109,59
1400000US19153004001,Census Tract 40.01,1590,205,93,53,104,85,66,89,75,61,22,29,71,73,102,68,78,58,50,49,160,93,118,69,154,90,222,159,35,28,55,38,185,86
1400000US19153004004,Census Tract 40.04,1416,166,37,34,0,10,10,16,76,115,5,8,27,27,9,13,56,54,56,48,90,57,81,44,161,92,163,74,203,99,214,82,228,102
1400000US19153004100,Census Tract 41,1541,182,43,32,101,123,25,24,54,64,48,33,84,58,21,24,47,37,14,20,125,75,165,83,135,62,131,63,177,124,181,92,190,79
1400000US19153004200,Census Tract 42,1536,185,104,76,33,27,144,137,52,49,99,60,37,41,80,81,33,30,53,43,210,100,313,157,159,95,66,47,53,39,15,24,85,71
1400000US19153004300,Census Tract 43,1811,190,18,21,0,10,37,39,39,48,40,33,50,45,101,85,54,57,36,46,207,94,157,81,521,203,150,79,143,78,158,88,100,85
1400000US19153004400,Census Tract 44,1549,237,74,70,113,89,65,68,66,58,25,29,43,42,121,111,8,14,21,22,86,61,342,189,393,151,68,38,71,58,25,30,28,30
1400000US19153004501,Census Tract 45.01,1381,111,157,165,6,11,21,16,103,112,48,70,53,46,48,55,91,91,136,106,39,26,128,84,229,104,180,88,42,45,73,83,27,31
1400000US19153004502,Census Tract 45.02,1123,133,91,68,42,37,78,54,53,52,14,20,34,33,47,41,52,37,67,71,52,41,50,37,262,115,102,71,80,60,65,44,34,35
1400000US19153004602,Census Tract 46.02,2937,332,115,95,297,167,234,173,111,89,47,45,221,211,74,66,211,134,91,68,234,94,253,130,393,135,269,230,251,142,98,68,38,54
1400000US19153004603,Census Tract 46.03,1510,167,74,44,29,25,20,20,31,41,86,55,67,62,125,95,29,27,79,65,70,39,166,75,222,99,193,83,71,41,239,121,9,14
1400000US19153004701,Census Tract 47.01,1882,254,50,38,72,59,191,138,36,29,50,36,55,51,68,58,180,109,162,112,129,92,267,148,318,109,147,96,56,47,11,14,90,79
1400000US19153004702,Census Tract 47.02,1325,169,60,55,30,33,110,92,160,95,108,83,116,79,81,57,111,88,53,63,140,107,74,76,44,30,7,18,141,111,90,88,0,10
1400000US19153004800,Census Tract 48,973,138,75,83,55,60,41,41,70,59,103,101,0,10,50,65,74,82,30,28,98,84,154,87,35,41,105,55,10,24,55,51,18,30
1400000US19153004900,Census Tract 49,695,194,199,145,53,42,32,28,11,12,23,24,11,18,48,54,20,20,13,17,62,42,34,27,24,30,69,60,83,114,0,10,13,14
1400000US19153005000,Census Tract 50,1090,187,73,66,134,117,197,95,31,28,91,90,43,43,40,27,43,49,9,16,93,78,95,69,77,60,81,70,0,10,56,48,27,40
1400000US19153005101,Census Tract 51.01,4746,492,194,113,382,306,268,234,180,114,63,62,188,156,232,153,283,208,94,73,592,313,411,162,524,207,460,227,276,183,362,150,237,126
1400000US19153005102,Census Tract 51.02,1080,189,0,10,8,14,70,92,0,10,12,19,0,10,41,42,101,92,182,157,81,56,267,161,143,104,28,44,78,64,0,10,69,60
1400000US19153005200,Census Tract 52,1172,187,35,29,51,40,71,61,60,45,22,33,80,64,83,70,38,40,35,49,261,128,107,80,143,83,89,99,62,65,30,40,5,11
1400000US19153005300,Census Tract 53,964,115,121,75,39,27,7,12,63,37,31,31,79,78,29,27,39,41,5,8,39,37,50,36,197,105,154,102,73,47,24,23,14,19
1400000US19153010101,Census Tract 101.01,2040,216,39,30,31,23,9,8,4,4,7,11,37,30,6,6,5,5,34,20,51,37,167,59,357,129,178,62,176,72,317,101,622,179
1400000US19153010102,Census Tract 101.02,4216,345,0,16,38,44,33,38,75,116,0,16,10,17,201,180,78,65,58,56,191,115,285,125,626,247,438,136,677,199,712,168,794,190
1400000US19153010205,Census Tract 102.05,3407,225,69,72,43,52,14,24,118,88,105,108,118,92,114,86,53,59,59,50,181,148,155,76,531,154,379,159,251,122,650,237,567,168
1400000US19153010207,Census Tract 102.07,1943,182,93,61,43,36,30,29,111,75,118,75,66,54,36,48,86,78,17,19,116,73,119,67,194,76,219,107,200,62,261,150,234,78
1400000US19153010208,Census Tract 102.08,1683,193,40,40,90,66,93,64,33,39,103,80,97,63,31,23,58,44,44,32,67,79,154,71,232,73,236,87,143,71,139,64,123,65
1400000US19153010209,Census Tract 102.09,2616,273,20,31,22,34,20,33,36,40,17,29,121,125,56,47,170,113,142,90,240,123,292,201,364,160,300,132,250,132,383,132,183,81
1400000US19153010211,Census Tract 102.11,1825,250,60,53,21,22,43,36,40,31,36,26,39,32,74,48,49,47,35,29,80,50,160,74,457,211,225,85,158,86,149,63,199,87
1400000US19153010212,Census Tract 102.12,1725,204,22,20,30,38,24,21,0,10,9,14,35,43,122,115,30,26,17,19,102,56,249,90,229,88,288,153,202,77,198,101,168,78
1400000US19153010213,Census Tract 102.13,1483,134,20,34,0,10,0,10,0,10,5,12,76,107,28,46,0,10,49,73,17,27,28,34,220,132,207,111,199,122,457,182,177,90
1400000US19153010214,Census Tract 102.14,3694,340,189,153,10,17,27,34,200,172,18,30,243,189,41,44,77,99,43,44,293,221,349,162,423,241,746,371,241,132,514,249,280,197
1400000US19153010215,Census Tract 102.15,2111,181,0,15,0,15,19,31,0,15,17,27,18,32,0,15,22,36,20,34,0,15,40,49,272,159,218,149,282,150,775,213,428,192
1400000US19153010216,Census Tract 102.16,7203,608,35,57,0,16,111,128,85,104,0,16,169,157,195,154,293,283,120,152,366,200,991,415,761,316,1415,551,564,284,1133,505,965,314
1400000US19153010404,Census Tract 104.04,1684,164,44,30,13,28,67,49,48,62,30,27,37,32,41,31,34,41,77,58,65,44,125,55,324,100,169,79,172,72,223,84,215,124
1400000US19153010406,Census Tract 104.06,1699,169,43,30,26,36,51,65,36,29,15,17,24,19,148,103,115,64,82,71,109,76,159,66,255,76,112,65,184,70,125,49,215,98
1400000US19153010407,Census Tract 104.07,1627,115,40,39,0,10,30,27,30,26,14,16,17,17,32,21,34,28,9,13,80,51,85,51,215,78,120,58,166,63,333,110,422,103
1400000US19153010408,Census Tract 104.08,1627,199,11,17,14,24,106,102,8,12,74,55,30,28,50,38,66,62,34,26,133,90,178,62,399,184,154,69,149,67,129,62,92,68
1400000US19153010409,Census Tract 104.09,1589,114,104,69,20,23,0,10,43,30,58,52,38,27,25,24,30,29,145,95,48,39,142,64,230,85,197,80,201,91,182,72,126,56
1400000US19153010410,Census Tract 104.10,889,115,21,21,0,10,0,10,16,23,14,22,15,15,28,31,16,26,28,24,30,31,82,61,118,64,208,98,131,81,102,47,80,55
